irr-C23-1	1 x (irr-C9-1,irr-C14-1)
irr-C23-46-q	1 x (irr-C9-18-q,irr-C14-1) + 1 x (irr-C9-1,irr-C14-28-q)
irr-C23-1034	1 x (irr-C9-1,irr-C14-1) + 1 x (irr-C9-152,irr-C14-1) + 1 x (irr-C9-18-q,irr-C14-28-q) + 1 x (irr-C9-1,irr-C14-377)
irr-C23-1081	1 x (irr-C9-171,irr-C14-1) + 1 x (irr-C9-18-q,irr-C14-28-q) + 1 x (irr-C9-1,irr-C14-406)
