irr-B17-1	1 x (irr-B13-1,irr-D4-1)
irr-B17-35	1 x (irr-B13-27,irr-D4-1) + 1 x (irr-B13-1,irr-D4-8a)
irr-B17-595	1 x (irr-B13-351,irr-D4-1) + 1 x (irr-B13-27,irr-D4-8a) + 1 x (irr-B13-1,irr-D4-28)
irr-B17-629	1 x (irr-B13-1,irr-D4-1) + 1 x (irr-B13-27,irr-D4-8a) + 1 x (irr-B13-377,irr-D4-1) + 1 x (irr-B13-1,irr-D4-35a)
