irr-B17-1	1 x (irr-A5-1)
irr-B17-35	1 x (irr-A5-35)
irr-B17-595	1 x (irr-A5-35) + 2 x (irr-A5-280)
irr-B17-629	1 x (irr-A5-35) + 1 x (irr-A5-189) + 1 x (irr-A5-405)
