irr-B17-1	1 x (irr-D17-1)
irr-B17-35	1 x (irr-D17-1) + 1 x (irr-D17-34)
irr-B17-595	1 x (irr-D17-34) + 1 x (irr-D17-561)
irr-B17-629	1 x (irr-D17-1) + 1 x (irr-D17-34) + 1 x (irr-D17-594)
