irr-B17-1	1 x (irr-A1-1,irr-A1-1,irr-B15-1)
irr-B17-35	1 x (irr-A1-2-q,irr-A1-2-q,irr-B15-1) + 1 x (irr-A1-1,irr-A1-1,irr-B15-31)
irr-B17-595	1 x (irr-A1-3,irr-A1-1,irr-B15-1) + 1 x (irr-A1-1,irr-A1-3,irr-B15-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B15-31) + 1 x (irr-A1-1,irr-A1-1,irr-B15-465)
irr-B17-629	1 x (irr-A1-1,irr-A1-1,irr-B15-1) + 1 x (irr-A1-3,irr-A1-3,irr-B15-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B15-31) + 1 x (irr-A1-1,irr-A1-1,irr-B15-495)
