irr-B17-1	1 x (irr-C2-1,irr-D15-1)
irr-B17-35	1 x (irr-C2-5,irr-D15-1) + 1 x (irr-C2-1,irr-D15-30)
irr-B17-595	1 x (irr-C2-10,irr-D15-1) + 1 x (irr-C2-5,irr-D15-30) + 1 x (irr-C2-1,irr-D15-435)
irr-B17-629	1 x (irr-C2-1,irr-D15-1) + 1 x (irr-C2-14,irr-D15-1) + 1 x (irr-C2-5,irr-D15-30) + 1 x (irr-C2-1,irr-D15-464)
