irr-B17-1	1 x (irr-A3-1,irr-B14-1)
irr-B17-35	1 x (irr-A3-6,irr-B14-1) + 1 x (irr-A3-1,irr-B14-29)
irr-B17-595	1 x (irr-A3-15,irr-B14-1) + 1 x (irr-A3-6,irr-B14-29) + 1 x (irr-A3-1,irr-B14-406)
irr-B17-629	1 x (irr-A3-1,irr-B14-1) + 1 x (irr-A3-6,irr-B14-29) + 1 x (irr-A3-20b,irr-B14-1) + 1 x (irr-A3-1,irr-B14-434)
