irr-B17-1	1 x (irr-B4-1,irr-D13-1)
irr-B17-35	1 x (irr-B4-9,irr-D13-1) + 1 x (irr-B4-1,irr-D13-26)
irr-B17-595	1 x (irr-B4-36,irr-D13-1) + 1 x (irr-B4-9,irr-D13-26) + 1 x (irr-B4-1,irr-D13-325)
irr-B17-629	1 x (irr-B4-1,irr-D13-1) + 1 x (irr-B4-9,irr-D13-26) + 1 x (irr-B4-44,irr-D13-1) + 1 x (irr-B4-1,irr-D13-350)
