irr-B17-1	1 x (irr-B16-1)
irr-B17-35	2 x (irr-B16-1) + 1 x (irr-B16-33)
irr-B17-595	1 x (irr-B16-1) + 2 x (irr-B16-33) + 1 x (irr-B16-528)
irr-B17-629	3 x (irr-B16-1) + 2 x (irr-B16-33) + 1 x (irr-B16-560)
