irr-B17-1	1 x (irr-B8-1,irr-D9-1)
irr-B17-35	1 x (irr-B8-17,irr-D9-1) + 1 x (irr-B8-1,irr-D9-18)
irr-B17-595	1 x (irr-B8-136,irr-D9-1) + 1 x (irr-B8-17,irr-D9-18) + 1 x (irr-B8-1,irr-D9-153)
irr-B17-629	1 x (irr-B8-1,irr-D9-1) + 1 x (irr-B8-17,irr-D9-18) + 1 x (irr-B8-152,irr-D9-1) + 1 x (irr-B8-1,irr-D9-170)
