irr-B17-1	1 x (irr-B7-1,irr-D10-1)
irr-B17-35	1 x (irr-B7-15,irr-D10-1) + 1 x (irr-B7-1,irr-D10-20)
irr-B17-595	1 x (irr-B7-105,irr-D10-1) + 1 x (irr-B7-15,irr-D10-20) + 1 x (irr-B7-1,irr-D10-190)
irr-B17-629	1 x (irr-B7-1,irr-D10-1) + 1 x (irr-B7-15,irr-D10-20) + 1 x (irr-B7-119,irr-D10-1) + 1 x (irr-B7-1,irr-D10-209)
