irr-B17-1	1 x (irr-B3-1,irr-D14-1)
irr-B17-35	1 x (irr-B3-7,irr-D14-1) + 1 x (irr-B3-1,irr-D14-28)
irr-B17-595	1 x (irr-B3-21,irr-D14-1) + 1 x (irr-B3-7,irr-D14-28) + 1 x (irr-B3-1,irr-D14-378)
irr-B17-629	1 x (irr-B3-1,irr-D14-1) + 1 x (irr-B3-7,irr-D14-28) + 1 x (irr-B3-27,irr-D14-1) + 1 x (irr-B3-1,irr-D14-405)
