irr-B17-1	1 x (irr-B6-1,irr-D11-1)
irr-B17-35	1 x (irr-B6-13,irr-D11-1) + 1 x (irr-B6-1,irr-D11-22)
irr-B17-595	1 x (irr-B6-78,irr-D11-1) + 1 x (irr-B6-13,irr-D11-22) + 1 x (irr-B6-1,irr-D11-231)
irr-B17-629	1 x (irr-B6-1,irr-D11-1) + 1 x (irr-B6-13,irr-D11-22) + 1 x (irr-B6-90,irr-D11-1) + 1 x (irr-B6-1,irr-D11-252)
