irr-B17-1	1 x (irr-A1-1,irr-D16-1)
irr-B17-35	1 x (irr-A1-3,irr-D16-1) + 1 x (irr-A1-1,irr-D16-32)
irr-B17-595	1 x (irr-A1-3,irr-D16-1) + 1 x (irr-A1-3,irr-D16-32) + 1 x (irr-A1-1,irr-D16-496)
irr-B17-629	1 x (irr-A1-1,irr-D16-1) + 1 x (irr-A1-5,irr-D16-1) + 1 x (irr-A1-3,irr-D16-32) + 1 x (irr-A1-1,irr-D16-527)
