irr-B17-1	1 x (irr-B11-1,irr-D6-1)
irr-B17-35	1 x (irr-B11-23,irr-D6-1) + 1 x (irr-B11-1,irr-D6-12)
irr-B17-595	1 x (irr-B11-253,irr-D6-1) + 1 x (irr-B11-23,irr-D6-12) + 1 x (irr-B11-1,irr-D6-66)
irr-B17-629	1 x (irr-B11-1,irr-D6-1) + 1 x (irr-B11-23,irr-D6-12) + 1 x (irr-B11-275,irr-D6-1) + 1 x (irr-B11-1,irr-D6-77)
