irr-A28-1	1 x (irr-B14-1)
irr-A28-29	1 x (irr-B14-29)
irr-A28-406	1 x (irr-B14-406)
irr-A28-435	1 x (irr-B14-1) + 1 x (irr-B14-434)
irr-A28-840	1 x (irr-B14-406) + 1 x (irr-B14-434)
