irr-A28-1	1 x (irr-A27-1)
irr-A28-29	1 x (irr-A27-1) + 1 x (irr-A27-28)
irr-A28-406	1 x (irr-A27-28) + 1 x (irr-A27-378)
irr-A28-435	1 x (irr-A27-1) + 1 x (irr-A27-28) + 1 x (irr-A27-406)
irr-A28-840	1 x (irr-A27-1) + 2 x (irr-A27-28) + 1 x (irr-A27-783)
