irr-D5-1	1 x (irr-D4-1)
irr-D5-10	2 x (irr-D4-1) + 1 x (irr-D4-8a)
irr-D5-16	2 x (irr-D4-8b)
irr-D5-45	1 x (irr-D4-1) + 2 x (irr-D4-8a) + 1 x (irr-D4-28)
irr-D5-54	3 x (irr-D4-1) + 2 x (irr-D4-8a) + 1 x (irr-D4-35a)
irr-D5-120	1 x (irr-D4-8a) + 2 x (irr-D4-28) + 1 x (irr-D4-56a)
irr-D5-126	2 x (irr-D4-35b) + 1 x (irr-D4-56a)
irr-D5-144	4 x (irr-D4-8b) + 2 x (irr-D4-56b)
irr-D5-210a	1 x (irr-D4-28) + 2 x (irr-D4-35b) + 2 x (irr-D4-56a)
