irr-D5-1	1 x (irr-A4-1)
irr-D5-10	2 x (irr-A4-5)
irr-D5-16	1 x (irr-A4-1) + 1 x (irr-A4-5) + 1 x (irr-A4-10)
irr-D5-45	1 x (irr-A4-1) + 2 x (irr-A4-10) + 1 x (irr-A4-24)
irr-D5-54	2 x (irr-A4-15) + 1 x (irr-A4-24)
irr-D5-120	2 x (irr-A4-5) + 2 x (irr-A4-10) + 2 x (irr-A4-45)
irr-D5-144	2 x (irr-A4-5) + 1 x (irr-A4-10) + 1 x (irr-A4-15) + 1 x (irr-A4-24) + 1 x (irr-A4-40) + 1 x (irr-A4-45)
