irr-D5-1	1 x (irr-A1-1,irr-B3-1)
irr-D5-10	1 x (irr-A1-3,irr-B3-1) + 1 x (irr-A1-1,irr-B3-7)
irr-D5-16	1 x (irr-A1-2-q,irr-B3-8)
irr-D5-45	1 x (irr-A1-3,irr-B3-1) + 1 x (irr-A1-3,irr-B3-7) + 1 x (irr-A1-1,irr-B3-21)
irr-D5-54	1 x (irr-A1-1,irr-B3-1) + 1 x (irr-A1-5,irr-B3-1) + 1 x (irr-A1-3,irr-B3-7) + 1 x (irr-A1-1,irr-B3-27)
irr-D5-120	1 x (irr-A1-1,irr-B3-1) + 1 x (irr-A1-3,irr-B3-7) + 1 x (irr-A1-3,irr-B3-21) + 1 x (irr-A1-1,irr-B3-35)
irr-D5-144	1 x (irr-A1-2-q,irr-B3-8) + 1 x (irr-A1-4-q,irr-B3-8) + 1 x (irr-A1-2-q,irr-B3-48)
