irr-D5-1	1 x (irr-C2-1)
irr-D5-10	1 x (irr-C2-10)
irr-D5-16	1 x (irr-C2-16-q)
irr-D5-45	1 x (irr-C2-10) + 1 x (irr-C2-35a)
irr-D5-54	1 x (irr-C2-5) + 1 x (irr-C2-14) + 1 x (irr-C2-35b)
irr-D5-120	1 x (irr-C2-1) + 1 x (irr-C2-5) + 1 x (irr-C2-14) + 1 x (irr-C2-30) + 1 x (irr-C2-35a) + 1 x (irr-C2-35b)
irr-D5-144	1 x (irr-C2-4-q) + 1 x (irr-C2-16-q) + 1 x (irr-C2-20-q) + 1 x (irr-C2-40-q) + 1 x (irr-C2-64-q)
