irr-D5-1	1 x (irr-C2-1,irr-C2-1)
irr-D5-10	1 x (irr-C2-5,irr-C2-1) + 1 x (irr-C2-1,irr-C2-5)
irr-D5-16	1 x (irr-C2-4-q,irr-C2-4-q)
irr-D5-45	1 x (irr-C2-1,irr-C2-10) + 1 x (irr-C2-5,irr-C2-5) + 1 x (irr-C2-10,irr-C2-1)
irr-D5-54	1 x (irr-C2-1,irr-C2-1) + 1 x (irr-C2-5,irr-C2-5) + 1 x (irr-C2-14,irr-C2-1) + 1 x (irr-C2-1,irr-C2-14)
irr-D5-120	1 x (irr-C2-10,irr-C2-1) + 1 x (irr-C2-1,irr-C2-10) + 1 x (irr-C2-10,irr-C2-5) + 1 x (irr-C2-5,irr-C2-10)
irr-D5-126	1 x (irr-C2-1,irr-C2-1) + 1 x (irr-C2-5,irr-C2-5) + 1 x (irr-C2-10,irr-C2-10)
irr-D5-144	1 x (irr-C2-4-q,irr-C2-4-q) + 1 x (irr-C2-16-q,irr-C2-4-q) + 1 x (irr-C2-4-q,irr-C2-16-q)
irr-D5-210a	1 x (irr-C2-5,irr-C2-1) + 1 x (irr-C2-1,irr-C2-5) + 1 x (irr-C2-5,irr-C2-10) + 1 x (irr-C2-10,irr-C2-5) + 1 x (irr-C2-10,irr-C2-10)
