irr-D5-1	1 x (irr-B4-1)
irr-D5-10	1 x (irr-B4-1) + 1 x (irr-B4-9)
irr-D5-16	1 x (irr-B4-16)
irr-D5-45	1 x (irr-B4-9) + 1 x (irr-B4-36)
irr-D5-54	1 x (irr-B4-1) + 1 x (irr-B4-9) + 1 x (irr-B4-44)
irr-D5-120	1 x (irr-B4-36) + 1 x (irr-B4-84)
irr-D5-126	1 x (irr-B4-126)
irr-D5-144	1 x (irr-B4-16) + 1 x (irr-B4-128)
irr-D5-210a	1 x (irr-B4-84) + 1 x (irr-B4-126)
