irr-A17-1	1 x (irr-D9-1)
irr-A17-18	1 x (irr-D9-18)
irr-A17-153	1 x (irr-D9-153)
irr-A17-171	1 x (irr-D9-1) + 1 x (irr-D9-170)
irr-A17-323	1 x (irr-D9-153) + 1 x (irr-D9-170)
