irr-A17-1	1 x (irr-C9-1)
irr-A17-18	1 x (irr-C9-18-q)
irr-A17-153	1 x (irr-C9-1) + 1 x (irr-C9-152)
irr-A17-171	1 x (irr-C9-171)
irr-A17-323	1 x (irr-C9-152) + 1 x (irr-C9-171)
