irr-A17-1	1 x (irr-A2-1,irr-A14-1)
irr-A17-18	1 x (irr-A2-3,irr-A14-1) + 1 x (irr-A2-1,irr-A14-15)
irr-A17-153	1 x (irr-A2-3,irr-A14-1) + 1 x (irr-A2-3,irr-A14-15) + 1 x (irr-A2-1,irr-A14-105)
irr-A17-171	1 x (irr-A2-6,irr-A14-1) + 1 x (irr-A2-3,irr-A14-15) + 1 x (irr-A2-1,irr-A14-120)
irr-A17-323	1 x (irr-A2-1,irr-A14-1) + 2 x (irr-A2-3,irr-A14-15) + 1 x (irr-A2-8,irr-A14-1) + 1 x (irr-A2-1,irr-A14-224)
