irr-C13-1	1 x (irr-C2-1,irr-C11-1)
irr-C13-26-q	1 x (irr-C2-4-q,irr-C11-1) + 1 x (irr-C2-1,irr-C11-22-q)
irr-C13-324	1 x (irr-C2-1,irr-C11-1) + 1 x (irr-C2-5,irr-C11-1) + 1 x (irr-C2-4-q,irr-C11-22-q) + 1 x (irr-C2-1,irr-C11-230)
irr-C13-351	1 x (irr-C2-10,irr-C11-1) + 1 x (irr-C2-4-q,irr-C11-22-q) + 1 x (irr-C2-1,irr-C11-253)
