irr-C13-1	1 x (irr-A12-1)
irr-C13-26-q	2 x (irr-A12-13)
irr-C13-324	2 x (irr-A12-78) + 1 x (irr-A12-168)
irr-C13-351	1 x (irr-A12-1) + 2 x (irr-A12-91) + 1 x (irr-A12-168)
