irr-C13-1	1 x (irr-A1-1,irr-C12-1)
irr-C13-26-q	1 x (irr-A1-2-q,irr-C12-1) + 1 x (irr-A1-1,irr-C12-24-q)
irr-C13-324	1 x (irr-A1-1,irr-C12-1) + 1 x (irr-A1-2-q,irr-C12-24-q) + 1 x (irr-A1-1,irr-C12-275)
irr-C13-351	1 x (irr-A1-3,irr-C12-1) + 1 x (irr-A1-2-q,irr-C12-24-q) + 1 x (irr-A1-1,irr-C12-300)
