irr-C16-1	1 x (irr-A1-1,irr-D8-1)
irr-C16-32-q	1 x (irr-A1-2-q,irr-D8-16)
irr-C16-495	1 x (irr-A1-3,irr-D8-120) + 1 x (irr-A1-1,irr-D8-135)
irr-C16-528	1 x (irr-A1-3,irr-D8-1) + 1 x (irr-A1-3,irr-D8-135) + 1 x (irr-A1-1,irr-D8-120)
