irr-C16-1	1 x (irr-C2-1,irr-D4-1)
irr-C16-32-q	1 x (irr-C2-4-q,irr-D4-8a)
irr-C16-495	1 x (irr-C2-5,irr-D4-1) + 1 x (irr-C2-1,irr-D4-35a) + 1 x (irr-C2-10,irr-D4-28) + 1 x (irr-C2-5,irr-D4-35a)
irr-C16-528	1 x (irr-C2-10,irr-D4-1) + 1 x (irr-C2-1,irr-D4-28) + 1 x (irr-C2-5,irr-D4-28) + 1 x (irr-C2-10,irr-D4-35a)
