irr-C16-1	1 x (irr-A15-1)
irr-C16-32-q	2 x (irr-A15-16)
irr-C16-495	2 x (irr-A15-120) + 1 x (irr-A15-255)
irr-C16-528	1 x (irr-A15-1) + 2 x (irr-A15-136) + 1 x (irr-A15-255)
