irr-A4-1	1 x (irr-A1-1,irr-A2-1)
irr-A4-5	1 x (irr-A1-2-q,irr-A2-1) + 1 x (irr-A1-1,irr-A2-3)
irr-A4-10	1 x (irr-A1-1,irr-A2-1) + 1 x (irr-A1-1,irr-A2-3) + 1 x (irr-A1-2-q,irr-A2-3)
irr-A4-15	1 x (irr-A1-3,irr-A2-1) + 1 x (irr-A1-2-q,irr-A2-3) + 1 x (irr-A1-1,irr-A2-6)
irr-A4-24	1 x (irr-A1-1,irr-A2-1) + 1 x (irr-A1-3,irr-A2-1) + 2 x (irr-A1-2-q,irr-A2-3) + 1 x (irr-A1-1,irr-A2-8)
irr-A4-35	1 x (irr-A1-4-q,irr-A2-1) + 1 x (irr-A1-3,irr-A2-3) + 1 x (irr-A1-2-q,irr-A2-6) + 1 x (irr-A1-1,irr-A2-10)
irr-A4-40	1 x (irr-A1-2-q,irr-A2-1) + 1 x (irr-A1-1,irr-A2-3) + 1 x (irr-A1-2-q,irr-A2-3) + 1 x (irr-A1-3,irr-A2-3) + 1 x (irr-A1-2-q,irr-A2-6) + 1 x (irr-A1-1,irr-A2-8)
irr-A4-45	1 x (irr-A1-2-q,irr-A2-1) + 2 x (irr-A1-1,irr-A2-3) + 1 x (irr-A1-2-q,irr-A2-3) + 1 x (irr-A1-3,irr-A2-3) + 1 x (irr-A1-1,irr-A2-6) + 1 x (irr-A1-2-q,irr-A2-8)
irr-A4-50	1 x (irr-A1-1,irr-A2-1) + 1 x (irr-A1-1,irr-A2-3) + 1 x (irr-A1-2-q,irr-A2-3) + 1 x (irr-A1-1,irr-A2-6) + 1 x (irr-A1-3,irr-A2-6) + 1 x (irr-A1-2-q,irr-A2-8)
irr-A4-70a	1 x (irr-A1-2-q,irr-A2-1) + 1 x (irr-A1-1,irr-A2-3) + 1 x (irr-A1-4-q,irr-A2-1) + 2 x (irr-A1-3,irr-A2-3) + 1 x (irr-A1-2-q,irr-A2-6) + 1 x (irr-A1-2-q,irr-A2-8) + 1 x (irr-A1-1,irr-A2-15a)
irr-A4-75	1 x (irr-A1-1,irr-A2-1) + 2 x (irr-A1-1,irr-A2-3) + 2 x (irr-A1-2-q,irr-A2-3) + 2 x (irr-A1-2-q,irr-A2-6) + 1 x (irr-A1-1,irr-A2-8) + 1 x (irr-A1-3,irr-A2-8)
