irr-A12-1	1 x (irr-A11-1)
irr-A12-13	1 x (irr-A11-1) + 1 x (irr-A11-12)
irr-A12-78	1 x (irr-A11-12) + 1 x (irr-A11-66)
irr-A12-91	1 x (irr-A11-1) + 1 x (irr-A11-12) + 1 x (irr-A11-78)
irr-A12-168	1 x (irr-A11-1) + 2 x (irr-A11-12) + 1 x (irr-A11-143)
