irr-A12-1	1 x (irr-B6-1)
irr-A12-13	1 x (irr-B6-13)
irr-A12-78	1 x (irr-B6-78)
irr-A12-91	1 x (irr-B6-1) + 1 x (irr-B6-90)
irr-A12-168	1 x (irr-B6-78) + 1 x (irr-B6-90)
