irr-B7-1	1 x (irr-A3-1)
irr-B7-15	1 x (irr-A3-15)
irr-B7-105	1 x (irr-A3-15) + 2 x (irr-A3-45)
irr-B7-119	1 x (irr-A3-15) + 1 x (irr-A3-20b) + 1 x (irr-A3-84a)
irr-B7-128	2 x (irr-A3-64)
