irr-B7-1	1 x (irr-A1-1)
irr-B7-15	1 x (irr-A1-15)
irr-B7-105	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-19) + 1 x (irr-A1-23) + 1 x (irr-A1-27)
irr-B7-119	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13) + 1 x (irr-A1-17) + 1 x (irr-A1-21) + 1 x (irr-A1-25) + 1 x (irr-A1-29)
irr-B7-128	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-17) + 1 x (irr-A1-19) + 1 x (irr-A1-23) + 1 x (irr-A1-29)
