irr-B7-1	1 x (irr-B6-1)
irr-B7-15	2 x (irr-B6-1) + 1 x (irr-B6-13)
irr-B7-105	1 x (irr-B6-1) + 2 x (irr-B6-13) + 1 x (irr-B6-78)
irr-B7-119	3 x (irr-B6-1) + 2 x (irr-B6-13) + 1 x (irr-B6-90)
irr-B7-128	2 x (irr-B6-64-q)
