irr-B7-1	1 x (irr-D7-1)
irr-B7-15	1 x (irr-D7-1) + 1 x (irr-D7-14)
irr-B7-105	1 x (irr-D7-14) + 1 x (irr-D7-91)
irr-B7-119	1 x (irr-D7-1) + 1 x (irr-D7-14) + 1 x (irr-D7-104)
irr-B7-128	2 x (irr-D7-64)
