irr-B7-1	1 x (irr-A1-1,irr-C2-1)
irr-B7-15	1 x (irr-A1-3,irr-C2-5)
irr-B7-105	1 x (irr-A1-3,irr-C2-1) + 1 x (irr-A1-1,irr-C2-10) + 1 x (irr-A1-5,irr-C2-10) + 1 x (irr-A1-3,irr-C2-14)
irr-B7-119	1 x (irr-A1-5,irr-C2-1) + 1 x (irr-A1-3,irr-C2-10) + 1 x (irr-A1-1,irr-C2-14) + 1 x (irr-A1-5,irr-C2-14)
irr-B7-128	1 x (irr-A1-6-q,irr-C2-4-q) + 1 x (irr-A1-4-q,irr-C2-16-q) + 1 x (irr-A1-2-q,irr-C2-20-q)
