irr-B7-1	1 x (irr-A1-1,irr-A1-1,irr-B5-1)
irr-B7-15	1 x (irr-A1-2-q,irr-A1-2-q,irr-B5-1) + 1 x (irr-A1-1,irr-A1-1,irr-B5-11)
irr-B7-105	1 x (irr-A1-3,irr-A1-1,irr-B5-1) + 1 x (irr-A1-1,irr-A1-3,irr-B5-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B5-11) + 1 x (irr-A1-1,irr-A1-1,irr-B5-55)
irr-B7-119	1 x (irr-A1-1,irr-A1-1,irr-B5-1) + 1 x (irr-A1-3,irr-A1-3,irr-B5-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B5-11) + 1 x (irr-A1-1,irr-A1-1,irr-B5-65)
irr-B7-128	1 x (irr-A1-2-q,irr-A1-1,irr-B5-32-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-B5-32-q)
