irr-B7-1	1 x (irr-A1-1,irr-D6-1)
irr-B7-15	1 x (irr-A1-3,irr-D6-1) + 1 x (irr-A1-1,irr-D6-12)
irr-B7-105	1 x (irr-A1-3,irr-D6-1) + 1 x (irr-A1-3,irr-D6-12) + 1 x (irr-A1-1,irr-D6-66)
irr-B7-119	1 x (irr-A1-1,irr-D6-1) + 1 x (irr-A1-5,irr-D6-1) + 1 x (irr-A1-3,irr-D6-12) + 1 x (irr-A1-1,irr-D6-77)
irr-B7-128	2 x (irr-A1-2-q,irr-D6-32-q)
