irr-A6-1	1 x (irr-A1-1,irr-A4-1)
irr-A6-7	1 x (irr-A1-2-q,irr-A4-1) + 1 x (irr-A1-1,irr-A4-5)
irr-A6-21	1 x (irr-A1-1,irr-A4-1) + 1 x (irr-A1-2-q,irr-A4-5) + 1 x (irr-A1-1,irr-A4-10)
irr-A6-28	1 x (irr-A1-3,irr-A4-1) + 1 x (irr-A1-2-q,irr-A4-5) + 1 x (irr-A1-1,irr-A4-15)
irr-A6-35	1 x (irr-A1-1,irr-A4-5) + 1 x (irr-A1-1,irr-A4-10) + 1 x (irr-A1-2-q,irr-A4-10)
irr-A6-48	1 x (irr-A1-1,irr-A4-1) + 1 x (irr-A1-3,irr-A4-1) + 2 x (irr-A1-2-q,irr-A4-5) + 1 x (irr-A1-1,irr-A4-24)
irr-A6-112	1 x (irr-A1-2-q,irr-A4-1) + 1 x (irr-A1-1,irr-A4-5) + 1 x (irr-A1-3,irr-A4-5) + 1 x (irr-A1-2-q,irr-A4-10) + 1 x (irr-A1-2-q,irr-A4-15) + 1 x (irr-A1-1,irr-A4-40)
irr-A6-140	1 x (irr-A1-2-q,irr-A4-1) + 2 x (irr-A1-1,irr-A4-5) + 1 x (irr-A1-3,irr-A4-5) + 1 x (irr-A1-2-q,irr-A4-10) + 1 x (irr-A1-2-q,irr-A4-24) + 1 x (irr-A1-1,irr-A4-45)
irr-A6-210a	1 x (irr-A1-2-q,irr-A4-5) + 1 x (irr-A1-1,irr-A4-10) + 1 x (irr-A1-2-q,irr-A4-10) + 1 x (irr-A1-3,irr-A4-10) + 1 x (irr-A1-1,irr-A4-15) + 1 x (irr-A1-2-q,irr-A4-40) + 1 x (irr-A1-1,irr-A4-45)
