irr-A6-1	1 x (irr-A2-1,irr-A3-1)
irr-A6-7	1 x (irr-A2-3,irr-A3-1) + 1 x (irr-A2-1,irr-A3-4)
irr-A6-21	1 x (irr-A2-3,irr-A3-1) + 1 x (irr-A2-3,irr-A3-4) + 1 x (irr-A2-1,irr-A3-6)
irr-A6-28	1 x (irr-A2-3,irr-A3-4) + 1 x (irr-A2-6,irr-A3-1) + 1 x (irr-A2-1,irr-A3-10)
irr-A6-35	1 x (irr-A2-1,irr-A3-1) + 1 x (irr-A2-1,irr-A3-4) + 1 x (irr-A2-3,irr-A3-4) + 1 x (irr-A2-3,irr-A3-6)
irr-A6-48	1 x (irr-A2-1,irr-A3-1) + 2 x (irr-A2-3,irr-A3-4) + 1 x (irr-A2-8,irr-A3-1) + 1 x (irr-A2-1,irr-A3-15)
irr-A6-112	1 x (irr-A2-3,irr-A3-4) + 1 x (irr-A2-3,irr-A3-6) + 1 x (irr-A2-8,irr-A3-1) + 1 x (irr-A2-6,irr-A3-4) + 1 x (irr-A2-3,irr-A3-10) + 1 x (irr-A2-1,irr-A3-20a)
irr-A6-140	1 x (irr-A2-3,irr-A3-1) + 1 x (irr-A2-1,irr-A3-4) + 1 x (irr-A2-3,irr-A3-4) + 1 x (irr-A2-6,irr-A3-1) + 1 x (irr-A2-3,irr-A3-6) + 1 x (irr-A2-8,irr-A3-4) + 1 x (irr-A2-3,irr-A3-15) + 1 x (irr-A2-1,irr-A3-20a)
irr-A6-210a	1 x (irr-A2-3,irr-A3-1) + 1 x (irr-A2-1,irr-A3-4) + 1 x (irr-A2-3,irr-A3-4) + 1 x (irr-A2-3,irr-A3-6) + 1 x (irr-A2-6,irr-A3-6) + 1 x (irr-A2-8,irr-A3-4) + 1 x (irr-A2-3,irr-A3-10) + 1 x (irr-A2-1,irr-A3-15) + 1 x (irr-A2-3,irr-A3-20a)
