irr-A6-1	1 x (irr-B3-1)
irr-A6-7	1 x (irr-B3-7)
irr-A6-21	1 x (irr-B3-21)
irr-A6-28	1 x (irr-B3-1) + 1 x (irr-B3-27)
irr-A6-35	1 x (irr-B3-35)
irr-A6-48	1 x (irr-B3-21) + 1 x (irr-B3-27)
irr-A6-112	1 x (irr-B3-7) + 1 x (irr-B3-105)
irr-A6-140	1 x (irr-B3-35) + 1 x (irr-B3-105)
