irr-A6-1	1 x (irr-A5-1)
irr-A6-7	1 x (irr-A5-1) + 1 x (irr-A5-6)
irr-A6-21	1 x (irr-A5-6) + 1 x (irr-A5-15)
irr-A6-28	1 x (irr-A5-1) + 1 x (irr-A5-6) + 1 x (irr-A5-21)
irr-A6-35	1 x (irr-A5-15) + 1 x (irr-A5-20-q)
irr-A6-48	1 x (irr-A5-1) + 2 x (irr-A5-6) + 1 x (irr-A5-35)
irr-A6-112	1 x (irr-A5-6) + 1 x (irr-A5-15) + 1 x (irr-A5-21) + 1 x (irr-A5-70)
irr-A6-140	1 x (irr-A5-6) + 1 x (irr-A5-15) + 1 x (irr-A5-35) + 1 x (irr-A5-84)
