irr-D8-1	1 x (irr-B3-1,irr-B4-1)
irr-D8-16	1 x (irr-B3-7,irr-B4-1) + 1 x (irr-B3-1,irr-B4-9)
irr-D8-120	1 x (irr-B3-7,irr-B4-9) + 1 x (irr-B3-21,irr-B4-1) + 1 x (irr-B3-1,irr-B4-36)
irr-D8-128	1 x (irr-B3-8,irr-B4-16)
irr-D8-135	1 x (irr-B3-1,irr-B4-1) + 1 x (irr-B3-7,irr-B4-9) + 1 x (irr-B3-27,irr-B4-1) + 1 x (irr-B3-1,irr-B4-44)
