irr-D8-1	1 x (irr-A1-1,irr-C4-1)
irr-D8-16	1 x (irr-A1-2-q,irr-C4-8-q)
irr-D8-120	1 x (irr-A1-3,irr-C4-1) + 1 x (irr-A1-3,irr-C4-27) + 1 x (irr-A1-1,irr-C4-36)
irr-D8-128	1 x (irr-A1-5,irr-C4-1) + 1 x (irr-A1-3,irr-C4-27) + 1 x (irr-A1-1,irr-C4-42)
irr-D8-135	1 x (irr-A1-1,irr-C4-27) + 1 x (irr-A1-3,irr-C4-36)
