irr-D8-1	1 x (irr-B4-1)
irr-D8-16	1 x (irr-B4-16)
irr-D8-120	1 x (irr-B4-36) + 1 x (irr-B4-84)
irr-D8-128	1 x (irr-B4-44) + 1 x (irr-B4-84)
irr-D8-135	1 x (irr-B4-9) + 1 x (irr-B4-126)
