irr-D8-1	1 x (irr-A7-1)
irr-D8-16	2 x (irr-A7-8)
irr-D8-120	1 x (irr-A7-1) + 2 x (irr-A7-28) + 1 x (irr-A7-63)
irr-D8-128	2 x (irr-A7-1) + 2 x (irr-A7-28) + 1 x (irr-A7-70)
irr-D8-135	2 x (irr-A7-36) + 1 x (irr-A7-63)
