irr-B8-1	1 x (irr-A1-1,irr-A1-1,irr-B6-1)
irr-B8-17	1 x (irr-A1-2-q,irr-A1-2-q,irr-B6-1) + 1 x (irr-A1-1,irr-A1-1,irr-B6-13)
irr-B8-136	1 x (irr-A1-3,irr-A1-1,irr-B6-1) + 1 x (irr-A1-1,irr-A1-3,irr-B6-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B6-13) + 1 x (irr-A1-1,irr-A1-1,irr-B6-78)
irr-B8-152	1 x (irr-A1-1,irr-A1-1,irr-B6-1) + 1 x (irr-A1-3,irr-A1-3,irr-B6-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B6-13) + 1 x (irr-A1-1,irr-A1-1,irr-B6-90)
irr-B8-256	1 x (irr-A1-2-q,irr-A1-1,irr-B6-64-q) + 1 x (irr-A1-1,irr-A1-2-q,irr-B6-64-q)
