irr-B8-1	1 x (irr-A3-1,irr-B5-1)
irr-B8-17	1 x (irr-A3-6,irr-B5-1) + 1 x (irr-A3-1,irr-B5-11)
irr-B8-136	1 x (irr-A3-15,irr-B5-1) + 1 x (irr-A3-6,irr-B5-11) + 1 x (irr-A3-1,irr-B5-55)
irr-B8-152	1 x (irr-A3-1,irr-B5-1) + 1 x (irr-A3-6,irr-B5-11) + 1 x (irr-A3-20b,irr-B5-1) + 1 x (irr-A3-1,irr-B5-65)
irr-B8-256	2 x (irr-A3-4,irr-B5-32-q)
