irr-B8-1	1 x (irr-A1-1,irr-D7-1)
irr-B8-17	1 x (irr-A1-3,irr-D7-1) + 1 x (irr-A1-1,irr-D7-14)
irr-B8-136	1 x (irr-A1-3,irr-D7-1) + 1 x (irr-A1-3,irr-D7-14) + 1 x (irr-A1-1,irr-D7-91)
irr-B8-152	1 x (irr-A1-1,irr-D7-1) + 1 x (irr-A1-5,irr-D7-1) + 1 x (irr-A1-3,irr-D7-14) + 1 x (irr-A1-1,irr-D7-104)
irr-B8-256	2 x (irr-A1-2-q,irr-D7-64)
