irr-B8-1	1 x (irr-B4-1,irr-D4-1)
irr-B8-17	1 x (irr-B4-9,irr-D4-1) + 1 x (irr-B4-1,irr-D4-8a)
irr-B8-136	1 x (irr-B4-36,irr-D4-1) + 1 x (irr-B4-9,irr-D4-8a) + 1 x (irr-B4-1,irr-D4-28)
irr-B8-152	1 x (irr-B4-1,irr-D4-1) + 1 x (irr-B4-9,irr-D4-8a) + 1 x (irr-B4-44,irr-D4-1) + 1 x (irr-B4-1,irr-D4-35a)
irr-B8-256	2 x (irr-B4-16,irr-D4-8b)
