irr-B8-1	1 x (irr-B3-1,irr-D5-1)
irr-B8-17	1 x (irr-B3-7,irr-D5-1) + 1 x (irr-B3-1,irr-D5-10)
irr-B8-136	1 x (irr-B3-21,irr-D5-1) + 1 x (irr-B3-7,irr-D5-10) + 1 x (irr-B3-1,irr-D5-45)
irr-B8-152	1 x (irr-B3-1,irr-D5-1) + 1 x (irr-B3-7,irr-D5-10) + 1 x (irr-B3-27,irr-D5-1) + 1 x (irr-B3-1,irr-D5-54)
irr-B8-256	2 x (irr-B3-8,irr-D5-16)
