irr-B8-1	1 x (irr-B7-1)
irr-B8-17	2 x (irr-B7-1) + 1 x (irr-B7-15)
irr-B8-136	1 x (irr-B7-1) + 2 x (irr-B7-15) + 1 x (irr-B7-105)
irr-B8-152	3 x (irr-B7-1) + 2 x (irr-B7-15) + 1 x (irr-B7-119)
irr-B8-256	2 x (irr-B7-128)
