irr-B6-1	1 x (irr-C2-1,irr-D4-1)
irr-B6-13	1 x (irr-C2-1,irr-D4-8a) + 1 x (irr-C2-5,irr-D4-1)
irr-B6-64-q	2 x (irr-C2-4-q,irr-D4-8b)
irr-B6-78	1 x (irr-C2-5,irr-D4-8a) + 1 x (irr-C2-1,irr-D4-28) + 1 x (irr-C2-10,irr-D4-1)
irr-B6-90	1 x (irr-C2-1,irr-D4-1) + 1 x (irr-C2-5,irr-D4-8a) + 1 x (irr-C2-14,irr-D4-1) + 1 x (irr-C2-1,irr-D4-35a)
