irr-B6-1	1 x (irr-A3-1,irr-B3-1)
irr-B6-13	1 x (irr-A3-6,irr-B3-1) + 1 x (irr-A3-1,irr-B3-7)
irr-B6-64-q	2 x (irr-A3-4,irr-B3-8)
irr-B6-78	1 x (irr-A3-6,irr-B3-7) + 1 x (irr-A3-15,irr-B3-1) + 1 x (irr-A3-1,irr-B3-21)
irr-B6-90	1 x (irr-A3-1,irr-B3-1) + 1 x (irr-A3-6,irr-B3-7) + 1 x (irr-A3-20b,irr-B3-1) + 1 x (irr-A3-1,irr-B3-27)
