irr-B6-1	1 x (irr-B5-1)
irr-B6-13	2 x (irr-B5-1) + 1 x (irr-B5-11)
irr-B6-64-q	2 x (irr-B5-32-q)
irr-B6-78	1 x (irr-B5-1) + 2 x (irr-B5-11) + 1 x (irr-B5-55)
irr-B6-90	3 x (irr-B5-1) + 2 x (irr-B5-11) + 1 x (irr-B5-65)
