irr-B6-1	1 x (irr-D6-1)
irr-B6-13	1 x (irr-D6-1) + 1 x (irr-D6-12)
irr-B6-64-q	2 x (irr-D6-32-q)
irr-B6-78	1 x (irr-D6-12) + 1 x (irr-D6-66)
irr-B6-90	1 x (irr-D6-1) + 1 x (irr-D6-12) + 1 x (irr-D6-77)
