irr-B6-1	1 x (irr-A1-1,irr-D5-1)
irr-B6-13	1 x (irr-A1-3,irr-D5-1) + 1 x (irr-A1-1,irr-D5-10)
irr-B6-64-q	2 x (irr-A1-2-q,irr-D5-16)
irr-B6-78	1 x (irr-A1-3,irr-D5-1) + 1 x (irr-A1-3,irr-D5-10) + 1 x (irr-A1-1,irr-D5-45)
irr-B6-90	1 x (irr-A1-1,irr-D5-1) + 1 x (irr-A1-5,irr-D5-1) + 1 x (irr-A1-3,irr-D5-10) + 1 x (irr-A1-1,irr-D5-54)
