irr-B6-1	1 x (irr-A1-1,irr-A1-1,irr-B4-1)
irr-B6-13	1 x (irr-A1-2-q,irr-A1-2-q,irr-B4-1) + 1 x (irr-A1-1,irr-A1-1,irr-B4-9)
irr-B6-64-q	1 x (irr-A1-2-q,irr-A1-1,irr-B4-16) + 1 x (irr-A1-1,irr-A1-2-q,irr-B4-16)
irr-B6-78	1 x (irr-A1-3,irr-A1-1,irr-B4-1) + 1 x (irr-A1-1,irr-A1-3,irr-B4-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B4-9) + 1 x (irr-A1-1,irr-A1-1,irr-B4-36)
irr-B6-90	1 x (irr-A1-1,irr-A1-1,irr-B4-1) + 1 x (irr-A1-3,irr-A1-3,irr-B4-1) + 1 x (irr-A1-2-q,irr-A1-2-q,irr-B4-9) + 1 x (irr-A1-1,irr-A1-1,irr-B4-44)
