irr-B6-1	1 x (irr-A1-1)
irr-B6-13	1 x (irr-A1-13)
irr-B6-64-q	1 x (irr-A1-4-q) + 1 x (irr-A1-10-q) + 1 x (irr-A1-12-q) + 1 x (irr-A1-16-q) + 1 x (irr-A1-22-q)
irr-B6-78	1 x (irr-A1-3) + 1 x (irr-A1-7) + 1 x (irr-A1-11) + 1 x (irr-A1-15) + 1 x (irr-A1-19) + 1 x (irr-A1-23)
irr-B6-90	1 x (irr-A1-5) + 1 x (irr-A1-9) + 1 x (irr-A1-13) + 1 x (irr-A1-17) + 1 x (irr-A1-21) + 1 x (irr-A1-25)
