irr-C8-1	1 x (irr-A1-1,irr-C7-1)
irr-C8-16-q	1 x (irr-A1-2-q,irr-C7-1) + 1 x (irr-A1-1,irr-C7-14-q)
irr-C8-119	1 x (irr-A1-1,irr-C7-1) + 1 x (irr-A1-2-q,irr-C7-14-q) + 1 x (irr-A1-1,irr-C7-90)
irr-C8-136	1 x (irr-A1-3,irr-C7-1) + 1 x (irr-A1-2-q,irr-C7-14-q) + 1 x (irr-A1-1,irr-C7-105)
